article_id,question,answer
1_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,1. How did the fat kind of hogs fare when you tried raising them?,They didn't do well at all; just pined away and died.
2_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,Who is confirmed in their tenure of the post office for four years and received their commission from the president?,Steve Weaver
3_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,What is the name of the deputy sheriff who was murdered in Sanford jail?,Deputy Sheriff Seth Taylor
4_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,Who was appointed as chairman pro tem at the county school board's June meeting?,Mr. F. C. Austin was appointed as chairman pro tem.
5_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,Who were the presidents of the reading event?,"Misses Boacn, Falm0t, and Messrs. Colby and Currier."
6_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,What kind of hog is being described in the passage?,A speedy hog that excels as a roadster and is not bound to its home.
7_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,Who was elected as the chairman of the board?,Mr. Healy was elected as the chairman.
8_1889-06-05_p13_sn96027724_00271761466_1889060501_0389,Who presided with much taste and skill at the organ on Sunday?,Prof Libby
2_1889-04-27_p6_sn98066392_00296024417_1889042701_0344,"What is the most important city in the West, located 90 miles inland from the ocean?",Los Angeles
3_1889-04-27_p6_sn98066392_00296024417_1889042701_0344,Who is wanted for the forgery of Bishop Richter's name?,O'Loane is wanted for the forgery of Bishop Richter's name.
11_1889-04-27_p6_sn98066392_00296024417_1889042701_0344,Who are the two members that arrived yesterday from Philadelphia and Baltimore?,Lands and Meckin.
13_1889-04-27_p6_sn98066392_00296024417_1889042701_0344,What was the outcome of the fight between George Siddons and George Lavine?,The fight ended in a draw on the fifty-fifth round.
17_1889-04-27_p6_sn98066392_00296024417_1889042701_0344,What was the outcome of City vs. J. Blaine case?,"Blaine, who was drunk, paid $5.35."
1_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who is Mr. G.F. Meek and what position does he hold?,"Mr. G.F. Meek is the General Manager of the Denver, Fort Worth and Texas Road."
2_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"What types of fruits are grown on the property in Tustin, Los Angeles County, California?","Navel oranges, blackberries, apricots, French prunes, and alfalfa are grown on the property."
4_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who received the circular warning about a fraudulent individual named R.H. Hill?,Agent Amos Burr of the Vanderbilt system.
5_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,How many carloads of excursionists arrived in the city yesterday?,A total of four carloads of excursionists arrived in the city yesterday.
